PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Henry Ellenson,DET,20,19,146,3,0.7,0.7,0,8.2,8.9,17.1
Nicolas Laprovittola,SAS,27,18,174,0.3,2.8,1.4,0.3,7.2,3.6,10.8
Justise Winslow,MIA,21,18,625,1.5,3.2,0.9,0,9,4,13
Lance Stephenson,IND,26,18,362,0.4,2.4,1.9,0,3.2,4.1,7.3
Mike Scott,ATL,28,18,195,3.4,1.7,1.2,0,7.4,6.4,13.8
Adreian Payne,MIN,26,18,135,2.1,3.9,0.7,0,8.5,7.1,15.6
Shawn Long,PHI,24,18,234,5.7,4.1,2.1,0,19.1,4.7,23.8
Jonathan Gibson,DAL,29,17,231,0.2,2.5,1.7,0.4,3.1,5.4,8.5
Cheick Diallo,NOP,20,17,199,2.4,2.2,1.9,0,10.1,6.3,16.4
Tim Quarterman,POR,22,16,80,0,3,3,0.6,9,4.8,13.8
Udonis Haslem,MIA,37,16,130,4.8,3.3,1.5,0.4,11.1,0.7,11.8
