ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Bargnani, Andrea TOR",78,53,23.9,22.5,97.8,108.7,0.495,0.448,23.3,36,3.2,15.2,9.2,7.40%,0.70%,1.60%,9.90%
"Green, Jeff SEA",80,52,28.2,19.4,93.8,110.6,0.491,0.441,31.8,10.1,4.9,13.4,9.2,8.20%,1.00%,1.60%,15.60%
"Villanueva, Charlie MIL",76,31,24.1,24.4,102.3,112.2,0.502,0.469,19.3,22.7,8.9,21.5,15,7.50%,0.90%,1.50%,10.80%
"Wade, Dwyane MIA",51,49,38.3,33.1,103.4,109.6,0.549,0.48,49.8,8.2,2.7,10.5,6.6,37.50%,2.40%,1.50%,16.40%
"Thornton, Al LAC",79,31,27.3,24.1,97.4,110.1,0.504,0.454,33.1,14.9,5.2,14,9.6,8.40%,1.10%,1.50%,11.40%
"Moore, Mikki SAC",82,79,29.1,12.7,115.7,111.2,0.613,0.577,37.2,0.4,8.1,16.2,12.2,5.40%,0.70%,1.50%,16.20%
"Wilcox, Chris SEA",62,55,28,21.2,106.9,108.3,0.554,0.524,38.9,0.5,7.9,19.2,13.6,7.10%,1.30%,1.50%,12.10%
"Curry, Eddy NY",59,58,25.9,23.5,104.9,114.1,0.578,0.546,55.1,0,8,12.6,10.2,3.80%,0.50%,1.50%,15.70%
"Azubuike, Kelenna GS",81,17,21.4,17.2,112.1,110.8,0.534,0.505,23.5,33.2,6.4,14,10,6.10%,1.30%,1.40%,8.20%
"Childress, Josh ATL",76,0,29.9,15.8,126.5,110.4,0.647,0.59,48,10.5,9,10.2,9.6,8.50%,1.60%,1.40%,12.40%
"Mason, Desmond MIL",59,56,28.8,16.8,104.7,113.8,0.519,0.482,36.3,0,5,13.1,8.8,11.30%,1.20%,1.40%,13.00%
"Richardson, Jason CHA",82,82,38.4,25.9,109.3,109.3,0.554,0.524,22.5,40.8,2.9,13.3,8,15.20%,1.90%,1.40%,9.30%
"World Peace, Metta SAC",57,54,38.1,25.5,106.3,107.6,0.535,0.497,30.7,23,5.6,12.1,8.9,16.20%,3.10%,1.40%,11.90%
"Foster, Jeff IND",77,52,24.5,11.5,125.6,105.3,0.568,0.55,38.9,0.8,14.9,23.8,19.3,10.10%,1.50%,1.30%,12.40%
"Iguodala, Andre PHI",82,82,39.5,23.8,110.3,104.9,0.543,0.495,39.6,24,3.1,13.4,8.2,20.30%,2.80%,1.20%,12.50%
"Warrick, Hakim MEM",75,30,23.4,21.6,110,112.3,0.555,0.512,39.8,7.4,7.8,15,11.4,5.20%,1.00%,1.20%,10.00%
"Boozer, Carlos UTA",81,81,34.9,26.6,112.4,103.5,0.581,0.547,30.3,0.1,8.6,27.7,18.2,14.20%,1.80%,1.20%,12.50%
"Jaric, Marko MIN",75,56,29.2,15,104.2,111.2,0.518,0.473,30.9,24.1,2,10.1,5.9,21.00%,2.30%,1.20%,17.60%
"Murphy, Troy IND",75,61,28.1,18.4,115.1,106.3,0.573,0.522,34.8,34.1,5.5,22.9,14,12.30%,1.10%,1.10%,10.70%
"Thomas, Tim LAC",63,51,30.8,20.7,100,109.9,0.505,0.472,21.7,38.4,3.7,15.6,9.6,15.70%,1.10%,1.10%,11.30%
"Diaw, Boris PHX",82,19,28.1,16.6,103.4,109.2,0.516,0.487,20,6.3,5.2,12.7,9.3,19.00%,1.30%,1.10%,18.10%
"Brewer, Corey MIN",79,35,22.8,15.6,90.6,110.4,0.429,0.382,22.6,7.4,5.1,13.9,9.4,9.10%,2.20%,1.10%,14.30%
"Ginobili, Manu SA",74,23,31.1,28.7,115.6,99.9,0.612,0.54,44.9,39.5,3.3,14.7,9.1,26.40%,2.60%,1.10%,14.50%
